frameworks,latencyAvg,latencyStdev,latencyMax,totalRequests,startTime,endTime,5xx,connect,read,write,timeout
micronaut-data-mongodb,5.50ms,3.80ms,52.96ms,1411716,1697318501,1697318516,,,,,
micronaut-data-mongodb,33.70ms,19.37ms,144.17ms,226566,1697318518,1697318534,,,,,
micronaut-data-mongodb,70.95ms,35.37ms,174.04ms,106732,1697318536,1697318551,,,,,
micronaut-data-mongodb,108.66ms,46.29ms,285.12ms,69591,1697318553,1697318568,,,,,
micronaut-data-mongodb,153.12ms,62.05ms,391.05ms,49352,1697318570,1697318585,,,,,
micronaut-data-mongodb-graalvm,10.78ms,12.41ms,145.99ms,914847,1697319418,1697319433,,,,,
micronaut-data-mongodb-graalvm,34.30ms,29.63ms,224.00ms,242395,1697319435,1697319451,,,,,
micronaut-data-mongodb-graalvm,62.64ms,40.57ms,290.19ms,125193,1697319453,1697319468,,,,,
micronaut-data-mongodb-graalvm,91.35ms,50.26ms,422.30ms,84477,1697319470,1697319485,,,,,
micronaut-data-mongodb-graalvm,118.69ms,56.04ms,398.11ms,64286,1697319487,1697319502,,,,,
micronaut-graalvm,8.81ms,9.12ms,125.57ms,1010977,1697320397,1697320412,,,,,
micronaut-graalvm,12.31ms,7.33ms,86.50ms,659692,1697320414,1697320429,,,,,
micronaut-graalvm,17.25ms,8.81ms,95.47ms,463857,1697320431,1697320446,,,,,
micronaut-graalvm,21.90ms,11.52ms,128.30ms,366049,1697320448,1697320463,,,,,
micronaut-graalvm,26.34ms,11.29ms,116.84ms,298178,1697320466,1697320481,,,,,
micronaut-jdbc,2.94ms,5.31ms,145.78ms,3223231,1697321230,1697321246,,,,,
micronaut-jdbc,10.41ms,10.82ms,130.18ms,923401,1697321248,1697321263,,,,,
micronaut-jdbc,18.20ms,15.41ms,230.82ms,464218,1697321265,1697321280,,,,,
micronaut-jdbc,26.38ms,19.59ms,243.79ms,306736,1697321282,1697321297,,,,,
micronaut-jdbc,34.09ms,22.36ms,253.14ms,231613,1697321299,1697321314,,,,,
micronaut-jdbc-graalvm,6.01ms,7.58ms,121.89ms,1663984,1697322065,1697322080,,,,,
micronaut-jdbc-graalvm,13.36ms,15.68ms,216.26ms,773714,1697322082,1697322097,,,,,
micronaut-jdbc-graalvm,21.17ms,19.75ms,227.89ms,420587,1697322099,1697322114,,,,,
micronaut-jdbc-graalvm,29.45ms,23.01ms,287.75ms,282263,1697322116,1697322132,,,,,
micronaut-jdbc-graalvm,37.70ms,25.95ms,316.48ms,213613,1697322134,1697322149,,,,,
micronaut-r2dbc,8.66ms,755.20us,25.86ms,858355,1697322802,1697322817,,,,,
micronaut-r2dbc,24.61ms,185.02ms,4.49s,595979,1697322819,1697322834,,,,,
micronaut-r2dbc,19.38ms,1.22ms,64.94ms,391001,1697322836,1697322852,,,,,
micronaut-r2dbc,28.07ms,1.44ms,47.20ms,270066,1697322854,1697322869,,,,,
micronaut-r2dbc,37.29ms,4.82ms,128.67ms,203801,1697322871,1697322886,,,,,
micronaut-r2dbc-graalvm,23.26ms,8.63ms,111.18ms,328184,1697323636,1697323652,,,,,
micronaut-r2dbc-graalvm,30.31ms,12.84ms,109.37ms,253024,1697323654,1697323669,,,,,
micronaut-r2dbc-graalvm,40.73ms,20.45ms,343.29ms,193647,1697323671,1697323686,,,,,
micronaut-r2dbc-graalvm,49.46ms,19.25ms,151.07ms,156466,1697323688,1697323703,,,,,
micronaut-r2dbc-graalvm,63.90ms,23.24ms,190.19ms,120086,1697323705,1697323720,,,,,
nancy,107.70ms,220.85ms,2.60s,106895,1697334543,1697334558,,,,,
nancy,610.54ms,539.19ms,5.72s,13638,1697334560,1697334575,,,,,
nancy,1.25s,934.11ms,7.91s,6355,1697334577,1697334592,,,,,
nancy,1.75s,975.00ms,7.99s,4038,1697334594,1697334609,,0.0,0.0,0.0,33.0
nancy,2.22s,1.07s,7.97s,3001,1697334611,1697334627,,0.0,0.0,0.0,49.0
nancy-netcore,9.83ms,3.32ms,38.99ms,769964,1697335165,1697335180,,,,,
nancy-netcore,50.32ms,18.60ms,193.10ms,151928,1697335182,1697335197,,,,,
nancy-netcore,169.81ms,87.17ms,569.86ms,45588,1697335199,1697335214,,,,,
nancy-netcore,319.72ms,178.38ms,1.09s,24315,1697335216,1697335231,,,,,
nancy-netcore,434.36ms,257.07ms,1.66s,17977,1697335233,1697335248,,,,,
officefloor-spring_data,21.49ms,27.24ms,434.34ms,438891,1697363388,1697363403,,,,,
officefloor-spring_data,104.56ms,89.39ms,857.90ms,81401,1697363405,1697363420,,,,,
officefloor-spring_data,208.66ms,153.31ms,1.48s,38489,1697363422,1697363437,,,,,
officefloor-spring_data,304.78ms,199.61ms,1.53s,25626,1697363439,1697363454,,,,,
officefloor-spring_data,399.69ms,240.03ms,1.69s,19177,1697363456,1697363472,,,,,
officefloor-vertx,11.69ms,1.62ms,30.94ms,646753,1697367410,1697367425,,,,,
officefloor-vertx,14.32ms,1.71ms,35.36ms,528312,1697367427,1697367442,,,,,
officefloor-vertx,17.72ms,2.67ms,65.16ms,427913,1697367444,1697367459,,,,,
officefloor-vertx,24.35ms,7.54ms,201.56ms,312593,1697367461,1697367476,,,,,
officefloor-vertx,32.01ms,8.59ms,196.91ms,237336,1697367478,1697367494,,,,,
quarkus,2.45ms,6.21ms,142.11ms,4518940,1697422637,1697422652,,,,,
quarkus,7.16ms,1.04ms,76.29ms,1061244,1697422654,1697422669,,,,,
quarkus,14.32ms,1.42ms,52.35ms,529953,1697422671,1697422687,,,,,
quarkus,21.50ms,2.11ms,82.25ms,352875,1697422689,1697422704,,,,,
quarkus,28.70ms,2.64ms,89.36ms,264156,1697422706,1697422721,,,,,
quarkus-hibernate-reactive,2.13ms,4.96ms,107.24ms,4328928,1697423572,1697423587,,,,,
quarkus-hibernate-reactive,8.55ms,4.22ms,134.92ms,908654,1697423589,1697423604,,,,,
quarkus-hibernate-reactive,16.82ms,5.89ms,161.52ms,454672,1697423606,1697423621,,,,,
quarkus-hibernate-reactive,25.31ms,7.89ms,219.82ms,301494,1697423623,1697423638,,,,,
quarkus-hibernate-reactive,33.68ms,9.31ms,212.40ms,225966,1697423640,1697423655,,,,,
ratpack-jdbc,2.52ms,1.86ms,59.82ms,3255929,1697439431,1697439446,,,,,
ratpack-jdbc,10.80ms,12.23ms,187.56ms,974999,1697439448,1697439463,,,,,
ratpack-jdbc,17.06ms,15.42ms,196.38ms,511589,1697439465,1697439480,,,,,
ratpack-jdbc,23.92ms,18.77ms,212.29ms,344169,1697439482,1697439498,,,,,
ratpack-jdbc,31.99ms,23.26ms,244.37ms,252234,1697439500,1697439515,,,,,
ratpack-pgclient,2.54ms,2.32ms,42.89ms,3504834,1697440077,1697440092,,,,,
ratpack-pgclient,10.91ms,16.08ms,100.67ms,1613920,1697440095,1697440110,,,,,
ratpack-pgclient,49.09ms,68.86ms,262.23ms,808864,1697440112,1697440127,,,,,
ratpack-pgclient,64.80ms,91.99ms,394.58ms,549821,1697440129,1697440144,,,,,
ratpack-pgclient,94.67ms,132.29ms,529.05ms,409608,1697440146,1697440161,,,,,
redkale-vertx,1.44ms,765.72us,16.98ms,5408996,1697445817,1697445832,,,,,
redkale-vertx,4.90ms,2.35ms,30.04ms,1581966,1697445834,1697445850,,,,,
redkale-vertx,9.74ms,4.76ms,30.51ms,794923,1697445852,1697445867,,,,,
redkale-vertx,14.68ms,7.60ms,91.91ms,529706,1697445869,1697445884,,,,,
redkale-vertx,19.38ms,8.95ms,67.83ms,399916,1697445886,1697445901,,,,,
